id,date_created,date_modified,political_party,source,date_start,date_granularity_start,date_end,date_granularity_end,person_id
"1","2016-04-20 15:15:47.555057+00","2016-04-20 15:15:47.555097+00","f","b",,"",,"","1"
"2","2016-04-20 15:15:47.604883+00","2016-04-20 15:15:47.604916+00","f","b",,"",,"","2"
"3","2016-04-20 15:15:47.639381+00","2016-04-20 15:15:47.639423+00","j","b",,"",,"","3"
"4","2016-04-20 15:15:47.673109+00","2016-04-20 15:15:47.673141+00","j","b",,"",,"","4"
"5","2016-04-20 15:15:47.705401+00","2016-04-20 15:15:47.70543+00","j","b",,"",,"","5"
"6","2016-04-20 15:15:47.737767+00","2016-04-20 15:15:47.737791+00","j","b",,"",,"","6"
"7","2016-04-20 15:15:47.768939+00","2016-04-20 15:15:47.768967+00","d","b",,"",,"","7"
"8","2016-04-20 15:15:47.802237+00","2016-04-20 15:15:47.802262+00","d","b",,"",,"","8"
"9","2016-04-20 15:15:47.830105+00","2016-04-20 15:15:47.830129+00","w","b",,"",,"","9"
"10","2016-04-20 15:15:47.869709+00","2016-04-20 15:15:47.869744+00","w","b",,"",,"","10"
"11","2016-04-20 15:15:47.901234+00","2016-04-20 15:15:47.901259+00","d","b",,"",,"","11"
"12","2016-04-20 15:15:47.931661+00","2016-04-20 15:15:47.93169+00","w","b",,"",,"","12"
"13","2016-04-20 15:15:47.966759+00","2016-04-20 15:15:47.966787+00","w","b",,"",,"","13"
"14","2016-04-20 15:15:47.999057+00","2016-04-20 15:15:47.999082+00","d","b",,"",,"","14"
"15","2016-04-20 15:15:48.03039+00","2016-04-20 15:15:48.030414+00","d","b",,"",,"","15"
"16","2016-04-20 15:15:48.061476+00","2016-04-20 15:15:48.061502+00","r","b",,"",,"","16"
"17","2016-04-20 15:15:48.093632+00","2016-04-20 15:15:48.093656+00","u","b",,"",,"","17"
"18","2016-04-20 15:15:48.12649+00","2016-04-20 15:15:48.126532+00","r","b",,"",,"","18"
"19","2016-04-20 15:15:48.158153+00","2016-04-20 15:15:48.158181+00","r","b",,"",,"","19"
"20","2016-04-20 15:15:48.189128+00","2016-04-20 15:15:48.189153+00","r","b",,"",,"","20"
"21","2016-04-20 15:15:48.216922+00","2016-04-20 15:15:48.216945+00","r","b",,"",,"","21"
"22","2016-04-20 15:15:48.253847+00","2016-04-20 15:15:48.253882+00","d","b",,"",,"","22"
"23","2016-04-20 15:15:48.28915+00","2016-04-20 15:15:48.289174+00","r","b",,"",,"","23"
"24","2016-04-20 15:15:48.321828+00","2016-04-20 15:15:48.321852+00","r","b",,"",,"","24"
"25","2016-04-20 15:15:48.348692+00","2016-04-20 15:15:48.348716+00","r","b",,"",,"","25"
"26","2016-04-20 15:15:48.380509+00","2016-04-20 15:15:48.380534+00","r","b",,"",,"","26"
"27","2016-04-20 15:15:48.411766+00","2016-04-20 15:15:48.41179+00","d","b",,"",,"","27"
"28","2016-04-20 15:15:48.443566+00","2016-04-20 15:15:48.44359+00","r","b",,"",,"","28"
"29","2016-04-20 15:15:48.480391+00","2016-04-20 15:15:48.480427+00","r","b",,"",,"","29"
"30","2016-04-20 15:15:48.517386+00","2016-04-20 15:15:48.517432+00","r","b",,"",,"","30"
"31","2016-04-20 15:15:48.550394+00","2016-04-20 15:15:48.550423+00","d","b",,"",,"","31"
"32","2016-04-20 15:15:48.582642+00","2016-04-20 15:15:48.582667+00","d","b",,"",,"","32"
"33","2016-04-20 15:15:48.613627+00","2016-04-20 15:15:48.613651+00","r","b",,"",,"","33"
